ID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount
100,1/1/23 1:49,1/1/23 2:02,74,238,1,2.56,15.6
101,1/1/23 1:30,1/1/23 2:20,80,145,2,14.97,50
102,1/1/23 1:27,1/1/23 1:30,179,7,5,0.62,5.8
103,1/1/23 1:43,1/1/23 1:51,7,7,5,0.87,8.6
104,1/1/23 1:11,1/1/23 1:11,179,179,2,0.01,190
105,1/1/23 1:45,1/1/23 1:52,82,260,5,0.86,7.9
106,1/1/23 1:40,1/1/23 1:53,25,181,5,2.38,14.2
107,1/1/23 1:11,1/1/23 1:11,7,7,1,0,3
108,1/1/23 1:53,1/2/23 0:00,260,223,1,2.64,14.9
109,1/1/23 1:39,1/1/23 2:00,75,95,1,11.34,44.3
110,1/1/23 1:40,1/1/23 1:47,74,75,1,1.61,9.3
111,1/1/23 1:20,1/1/23 1:27,145,193,1,2,10.7
112,1/1/23 1:41,1/1/23 1:56,112,237,1,4.08,20.5
113,1/1/23 1:23,1/1/23 1:54,66,41,1,10.96,46.4
114,1/1/23 1:22,1/1/23 1:41,66,233,1,6.14,28.2
115,1/1/23 1:52,1/1/23 1:53,264,264,1,0,3
116,1/1/23 1:39,1/1/23 1:53,95,102,1,3.16,17.7
117,1/1/23 1:20,1/1/23 1:31,130,10,1,1.67,12.1
118,1/1/23 1:25,1/2/23 0:29,129,37,1,6.53,31
119,1/1/23 1:57,1/1/23 2:15,80,223,1,6.81,29.6
120,1/1/23 1:20,1/1/23 1:41,33,237,1,8.07,33.8
121,1/1/23 1:25,1/1/23 1:37,7,260,1,1.71,12.8
122,1/1/23 1:04,1/1/23 1:27,82,258,1,5.22,26.1
123,1/1/23 1:12,1/1/23 1:47,226,129,2,3.59,28.2
124,1/1/23 1:33,1/1/23 1:43,129,160,2,2.08,12.1
125,1/1/23 1:26,1/1/23 1:38,41,237,1,2.9,14.9
126,1/1/23 1:26,1/1/23 1:39,260,82,1,1.71,12.8
127,1/1/23 0:57,1/1/23 1:04,260,129,5,1.17,9.3
128,1/1/23 1:39,1/1/23 1:48,260,226,1,1.52,10.7
129,1/1/23 1:15,1/1/23 1:25,166,42,1,1.52,11.4
130,1/1/23 1:35,1/1/23 1:54,41,170,1,4.62,22.6
131,1/1/23 1:04,1/1/23 1:24,66,61,1,3.8,15.5
132,1/1/23 2:28,1/1/23 2:42,66,80,1,3.5,17.7
133,1/1/23 2:06,1/1/23 2:27,145,223,1,4.12,24
134,1/1/23 2:50,1/1/23 3:04,255,181,1,6.39,26.8
135,1/1/23 2:23,1/1/23 2:31,166,41,1,1.18,9.3
136,1/1/23 2:36,1/1/23 2:42,41,151,1,1.53,9.3
137,1/1/23 2:16,1/1/23 2:22,42,41,1,1.1,7.2
138,1/1/23 2:29,1/1/23 2:38,42,244,1,1.9,10.7
139,1/1/23 2:18,1/1/23 2:30,255,112,1,1.75,12.1
140,1/1/23 2:08,1/1/23 2:19,195,231,1,4.29,19.1
141,1/1/23 2:27,1/1/23 2:47,66,37,1,3.5,21.2
142,1/1/23 2:07,1/1/23 2:19,52,97,1,1.7,12.1
143,1/1/23 2:33,1/1/23 2:56,112,17,1,4.29,24
144,1/1/23 2:55,1/1/23 3:09,75,162,1,3.92,19.8
145,1/1/23 2:50,1/1/23 3:06,75,48,1,3.84,19.1
146,1/1/23 2:03,1/1/23 2:03,169,169,2,0.01,3
147,1/1/23 2:01,1/1/23 2:03,179,7,1,0.32,25
148,1/1/23 2:06,1/1/23 2:13,41,262,1,1.68,10
149,1/1/23 2:31,1/1/23 2:44,74,116,1,3.11,15.6
150,1/1/23 2:21,1/1/23 2:28,95,96,1,1.26,9.3
151,1/1/23 2:36,1/1/23 2:49,82,82,1,2.1,12.1
152,1/1/23 2:23,1/1/23 2:35,130,219,1,5.34,22.6
153,1/1/23 2:47,1/1/23 2:51,210,210,1,0.8,6.5
154,1/1/23 2:18,1/1/23 2:22,152,166,1,0.82,15
155,1/1/23 2:24,1/1/23 2:37,166,243,1,3.79,18.4
156,1/1/23 2:07,1/1/23 2:12,75,236,1,0.84,7.2
157,1/1/23 2:13,1/1/23 2:29,75,166,1,3.27,18.4
158,1/1/23 2:35,1/1/23 2:38,41,166,1,0.64,5.1
159,1/1/23 2:06,1/1/23 2:18,41,116,6,2.18,10.5
160,1/1/23 2:24,1/1/23 2:44,152,223,6,5.52,19.5
161,1/1/23 2:36,1/1/23 2:50,7,226,2,2.57,15.6
162,1/1/23 2:29,1/1/23 2:53,223,56,1,4.38,24
163,1/1/23 1:59,1/1/23 1:59,36,36,2,0.09,100
164,1/1/23 2:35,1/1/23 3:00,7,129,1,6.03,30.3
165,1/1/23 2:28,1/1/23 2:39,75,143,1,3.03,15.6
166,1/1/23 2:37,1/1/23 2:37,51,264,3,0,40
167,1/1/23 2:07,1/1/23 2:19,145,112,1,2.09,14.2
168,1/1/23 2:28,1/1/23 2:54,112,114,1,4.87,40
169,1/1/23 2:50,1/1/23 2:50,157,157,1,0,3
170,1/1/23 2:09,1/1/23 2:16,95,95,1,1.33,9.3
171,1/1/23 2:47,1/1/23 2:53,168,168,1,0.47,10
172,1/1/23 2:59,1/1/23 3:17,97,229,1,7.33,31.7
173,1/1/23 2:37,1/1/23 2:37,260,264,1,0,20
174,1/1/23 2:42,1/1/23 2:50,43,161,1,3.19,14.2
175,1/1/23 2:42,1/1/23 3:01,256,189,1,3.63,20.5
176,1/1/23 2:04,1/1/23 2:09,25,54,1,1.11,7.9
177,1/1/23 2:47,1/1/23 3:00,25,112,1,4.7,21.9
178,1/1/23 2:18,1/1/23 2:28,42,75,5,1.78,12.1
179,1/1/23 2:43,1/1/23 3:01,129,56,2,2.36,17
180,1/1/23 2:37,1/1/23 3:21,82,129,2,6.16,40.8
181,1/1/23 2:17,1/1/23 2:32,173,223,2,5.87,25.4
182,1/1/23 2:53,1/1/23 3:13,255,90,1,4.84,80
183,1/1/23 2:10,1/1/23 2:14,260,260,5,0.55,5.8
184,1/1/23 2:06,1/1/23 2:16,181,17,5,2.11,12.8
185,1/1/23 2:09,1/1/23 2:11,223,223,1,0,110
186,1/1/23 3:01,1/1/23 3:01,129,264,1,0,12
187,1/1/23 3:04,1/1/23 3:18,129,7,1,2.37,14.9
188,1/1/23 2:40,1/1/23 3:01,112,36,1,3.68,21.2
189,1/1/23 2:10,1/1/23 2:17,75,239,1,1.53,9.3
190,1/1/23 2:54,1/1/23 3:03,74,42,1,1.74,10.7
191,1/1/23 2:05,1/1/23 2:09,52,40,1,1,5
192,1/1/23 2:16,1/1/23 2:36,25,188,1,3,14.5
193,1/1/23 2:38,1/1/23 2:38,70,70,1,0,25
194,1/1/23 2:51,1/1/23 3:24,82,63,1,9.63,43.6
195,1/1/23 3:00,1/1/23 3:00,251,251,1,4.9,23
196,1/1/23 3:34,1/1/23 3:50,40,249,1,4.1,20.5
197,1/1/23 3:07,1/1/23 3:11,42,42,1,0.47,5.8
198,1/1/23 3:06,1/1/23 3:06,101,101,1,1.3,90
199,1/1/23 3:07,1/1/23 3:07,101,101,1,1.3,60